date,name,crimes
202010,Kensington and Chelsea,1757
202011,Kensington and Chelsea,1266
202012,Kensington and Chelsea,1485
202001,Kingston upon Thames,3104
202002,Kingston upon Thames,2824
202003,Kingston upon Thames,2387
202004,Kingston upon Thames,1579
202005,Kingston upon Thames,1915
202006,Kingston upon Thames,2206
202007,Kingston upon Thames,2729
202008,Kingston upon Thames,2588
202009,Kingston upon Thames,2727
202010,Kingston upon Thames,2719
202011,Kingston upon Thames,2194
202012,Kingston upon Thames,2323
202001,Lambeth,2936
202002,Lambeth,2683
202003,Lambeth,2515
202004,Lambeth,1892
202005,Lambeth,2271
202006,Lambeth,2491
202007,Lambeth,2896
202008,Lambeth,2957
202009,Lambeth,2883
202010,Lambeth,2694
202011,Lambeth,2556
202012,Lambeth,2207
202001,Lewisham,2403
202002,Lewisham,2215
202003,Lewisham,2106
202004,Lewisham,2017
202005,Lewisham,2270
202006,Lewisham,2293
202007,Lewisham,2511
202008,Lewisham,2457
202009,Lewisham,2410
202010,Lewisham,2487
202011,Lewisham,2335
202012,Lewisham,2066
202001,Merton,1278
202002,Merton,1121
202003,Merton,1135
202004,Merton,891
202005,Merton,999
202006,Merton,1110
202007,Merton,1276
202008,Merton,1208
202009,Merton,1247
202010,Merton,1211
202011,Merton,1106
202012,Merton,983
202001,Newham,3031
202002,Newham,2907
202003,Newham,2593
202004,Newham,2071
202005,Newham,2331
202006,Newham,2697
202007,Newham,2988
202008,Newham,2986
202009,Newham,2900
202010,Newham,3093
202011,Newham,2790
202012,Newham,2865
202001,Redbridge,2083
202002,Redbridge,2124
202003,Redbridge,1907
202004,Redbridge,1487
202005,Redbridge,1730
202006,Redbridge,1897
202007,Redbridge,2038
202008,Redbridge,1939
202009,Redbridge,2009
202010,Redbridge,2125
202011,Redbridge,1978
202012,Redbridge,1846
202001,Richmond upon Thames,1150
202002,Richmond upon Thames,1020
202003,Richmond upon Thames,933
202004,Richmond upon Thames,719
202005,Richmond upon Thames,970
202006,Richmond upon Thames,1017
202007,Richmond upon Thames,1201
202008,Richmond upon Thames,1171
202009,Richmond upon Thames,1113
202010,Richmond upon Thames,1060
202011,Richmond upon Thames,1002
202012,Richmond upon Thames,908
202001,Southwark,2976
202002,Southwark,3039
202003,Southwark,2447
202004,Southwark,1842
202005,Southwark,2231
202006,Southwark,2537
202007,Southwark,2988
202008,Southwark,3157
202009,Southwark,3000
202010,Southwark,2986
202011,Southwark,2619
202012,Southwark,2396
202001,Sutton,1360
202002,Sutton,1205
202003,Sutton,1189
202004,Sutton,868
202005,Sutton,1017
202006,Sutton,1106
202007,Sutton,1049
202008,Sutton,1034
202009,Sutton,1022
202010,Sutton,1093
202011,Sutton,1182
202012,Sutton,922
202001,Tower Hamlets,2763
202002,Tower Hamlets,2684
202003,Tower Hamlets,2504
202004,Tower Hamlets,1915
202005,Tower Hamlets,2288
202006,Tower Hamlets,2542
202007,Tower Hamlets,2929
202008,Tower Hamlets,2897
202009,Tower Hamlets,3053
202010,Tower Hamlets,2980
202011,Tower Hamlets,2610
202012,Tower Hamlets,2471
202001,Waltham Forest,2088
202002,Waltham Forest,2104
202003,Waltham Forest,1934
202004,Waltham Forest,1685
202005,Waltham Forest,1925
202006,Waltham Forest,2019
202007,Waltham Forest,2098
202008,Waltham Forest,2054
202009,Waltham Forest,2040
202010,Waltham Forest,1901
202011,Waltham Forest,1940
202012,Waltham Forest,1756
202001,Wandsworth,2379
202002,Wandsworth,2100
202003,Wandsworth,1841
202004,Wandsworth,1413
202005,Wandsworth,1803
202006,Wandsworth,2056
202007,Wandsworth,2228
202008,Wandsworth,2276
202009,Wandsworth,2448
202010,Wandsworth,2280
202011,Wandsworth,2104
202012,Wandsworth,1942
202001,Westminster,6401
202002,Westminster,6685
202003,Westminster,4692
202004,Westminster,1708
202005,Westminster,2264
202006,Westminster,3002
202007,Westminster,4109
202008,Westminster,4494
202009,Westminster,4475
202010,Westminster,4339
202011,Westminster,3007
202012,Westminster,3498
